"- According to FTS, appeals were funded at $936.6 million or 4% of requirements on 28 February 2018. For real time updates on incoming funds, see fts.unocha.org","Humanitarian Financing"
"- Securing full funding for the 2018 Yemen Humanitarian Response Plan (YHRP) is currently a top priority: after three years of conflict, conditions in **Yemen** are catastrophic. A record 22.2 million people need humanitarian assistance or protection – including 8.4 million who are severely food insecure. About 400,000 children under age 5 are severely malnourished and ten times likelier to die without treatment than healthy children. Some 2 million people remain displaced – 90% of whom fled their homes more than a year ago. Nearly 1.1 million suspected cases of cholera have been reported since April 2017 in what experts have called the world’s worst outbreak of the disease. An estimated 3 million women and girls in Yemen are at risk of gender-based violence.  ","Humanitarian Financing"
"- In February, the governments of Saudi Arabia and the United Arab Emirates confirmed they would transfer $930 million by 31 March towards the 2018 YHRP.    ","Humanitarian Financing"
"Other donors have also stepped forward, with total pledges and funding to date amounting to about one-third of the entire appeal. On 3 April, the Secretary-General will convene a pledging conference in Geneva hosted by Sweden and Switzerland where all donors will have an opportunity to work together to provide the remaining resources needed for this response.  ","Humanitarian Financing"
"- Urgent funding is required to sustain and scale up life-saving assistance to vulnerable people in Mali. The 2018 HRP for **Mali** aims to provide life-saving aid for 1.56 million of the most vulnerable people among 4.1 million people exposed to deteriorating security conditions and a looming food and nutrition crisis; poor rains in 2017 have precipitated a lean season. Over 795,000 people require immediate food assistance, a figure expected to rise to 1.5 million people by June 2018. Over 460,000 people will be deprived of life-saving food assistance if funds are not forthcoming and if UNICEF doesn’t receive $15 million with which to treat severe acute malnutrition, 274,000 children will be placed at risk of death.  ","Humanitarian Financing"
"- For information on urgent funding needs in DPRK, Burundi, CAR, Ukraine and Cameroon, click on the icon on page 2 of this update.  ","Humanitarian Financing"
"This paper seeks to address three interconnected policy questions:","Peacekeeping and Peacebuilding"
"- First how do global illicit flows impact on local conflict dynamics? Are there specific conceptual features that can be identified that may assist us to analyse this phenomenon across cases?","Peacekeeping and Peacebuilding"
"- By understanding these, second, what can be done to limit the negative impact of organised crime on violent conflict? Are new ideas required or is it only a question of recalibrating existing policy alternatives?","Peacekeeping and Peacebuilding"
"- Third, what are the implications for international involvement in conflict affected states? Given the potential complexities of engaging in conflict spaces on what are often hidden or little understood criminal resource flows, are these even viable objectives for policy intervention, for either development or security actors?  ","Peacekeeping and Peacebuilding"
"While the paper’s focus is largely on Africa, given that much of the discussion on the political economy of conflict has had a link to conflicts on the continent, it also seeks to build on our wider experience of working in and researching conflict zones elsewhere and engaging with the range of stakeholders involved.  ","Peacekeeping and Peacebuilding"
"The discussion begins with a short overview of the history of the debate on the linkages between organised crime and conflict with an African focus. This schematic serves as an introduction to a series of analytical issues that we have drawn from both the Libyan and Nigerian case studies as well as our own analytical work conducted on organised crime and illicit networks in several other conflict zones.  ","Peacekeeping and Peacebuilding"
"While we do not claim these to be a definitive list, we hope that they serve to promote debate about the state of the evolving discussion and the linkages between global flows and local conflicts.  ","Peacekeeping and Peacebuilding"
"Referring to the connection between criminal flows and conflicts is not necessarily new. However, the scale of the challenge has changed as has the analytical discourse that is increasingly being adopted. The current debate in our views reflects a merging between an older literature on “greed or grievance” as a cause of conflict, and a newer (and less developed) one that has sought to identify organised crime as one ‘driver’ of conflict. Driver in this context has four overlapping dimensions:","Peacekeeping and Peacebuilding"
"1.  Conflict over the control of illicit markets;","Peacekeeping and Peacebuilding"
"2.  Illicit markets providing resources for continuing conflicts;","Peacekeeping and Peacebuilding"
"3.  Illicit revenue streams associated with conflict (and the disruption that it brings) postponing peace by ensuring that incentives from the criminal economy are seen as more advantageous than from peace; and,","Peacekeeping and Peacebuilding"
"4.  External resourcing of conflict actors and/or wide spread corruption associated with illicit markets which is a “bleeding sore” that erodes the state, preventing a decisive end to conflict (and through collusion in illicit markets provides incentives for state actors to gain from its continuance).  ","Peacekeeping and Peacebuilding"
"As these points suggest, and as we will argue as the paper unfolds, there are important overlaps between the older work on “greed and grievance” and the emerging focus.  ","Peacekeeping and Peacebuilding"
"What is lacking is a better way of conceptually framing the connections to allow a more sophisticated policy discussion.  ","Peacekeeping and Peacebuilding"
"We conclude that policy in this area is better informed by identifying a set of principles around which to frame responses rather than a set of ‘actions’ that are unlikely to be replicable across conflicts.","Peacekeeping and Peacebuilding"
"The following Security Council press statement was issued today by Council President Tekeda Alemu (Ethiopia):","Peacekeeping and Peacebuilding"
"The members of the Security Council condemned in the strongest terms the attack by unknown assailants against a convoy of the United Nations Multidimensional Integrated Stabilization Mission in Mali (MINUSMA) in the region of Gao, Mali, on 24 September 2017, which caused the death of three Bangladeshi peacekeepers and injured four others.","Peacekeeping and Peacebuilding"
"The members of the Security Council expressed their deepest condolences and sympathy to the families of the victims, as well as to the Government of Bangladesh and to MINUSMA.  They wished a speedy and full recovery to those who were injured.  They paid tribute to the peacekeepers who risk their lives.","Peacekeeping and Peacebuilding"
"The members of the Security Council called on the Government of Mali to swiftly investigate this attack and bring the perpetrators to justice.  They underlined that attacks targeting peacekeepers may constitute war crimes under international law.  They stressed that involvement in planning, directing, sponsoring or conducting attacks against MINUSMA peacekeepers constitute a basis for sanctions designations pursuant to United Nations Security Council resolutions.","Peacekeeping and Peacebuilding"
"The members of the Security Council reaffirmed that terrorism in all its forms and manifestations constitutes one of the most serious threats to international peace and security.  The members of the Security Council underlined the need to bring perpetrators, organizers, financiers and sponsors of these reprehensible acts of terrorism to justice.  They stressed that those responsible for these killings should be held accountable, and urged all States, in accordance with their obligations under international law and relevant Security Council resolutions, to cooperate actively with all relevant authorities in this regard.","Peacekeeping and Peacebuilding"
"The members of the Security Council reiterated that any acts of terrorism are criminal and unjustifiable, regardless of their motivation, wherever, whenever and by whomsoever committed.  They reaffirmed the need for all States to combat by all means, in accordance with the Charter of the United Nations and other obligations under international law, including international human rights law, international refugee law and international humanitarian law, threats to international peace and security caused by terrorist acts.","Peacekeeping and Peacebuilding"
"The members of the Security Council reiterated their full support for MINUSMA and the French forces that support it.  They reiterated their strong support for the Special Representative of the Secretary-General for Mali, Mahamat Saleh Annadif, and for MINUSMA to assist the Malian authorities and the Malian people in their efforts to bring lasting peace and stability to their country, including through MINUSMA’s support to the implementation of the Agreement for Peace and Reconciliation in Mali.  They recognized the determination and ownership of the Governments of the Group of Five for the Sahel States (G5 Sahel) to address the impact of terrorism and transnational organized crime, including through the conduct of cross-border joint military counter-terrorist operations.","Peacekeeping and Peacebuilding"
"The members of the Security Council expressed their concern about the security situation in Mali and the transnational dimension of the terrorist threat in the Sahel region.  They urged the Malian parties to fully implement the Agreement without further delay.  They noted that the full implementation of the Agreement and the intensification of efforts to overcome asymmetric threats can contribute to improving the security situation across Mali.  They underlined that the efforts of the Force Conjointe of the G5 Sahel to counter the activities of terrorist groups and other organized criminal groups will contribute to create a more secure environment in the Sahel region.","Peacekeeping and Peacebuilding"
"The members of the Security Council further stressed the importance that MINUSMA has the necessary capacities, including combat convoy companies, to fulfil its mandate and promote the safety and security of the United Nations peacekeepers, pursuant to Security Council resolution 2364 (2017).","Peacekeeping and Peacebuilding"
"*For information media. Not an official record.*","Peacekeeping and Peacebuilding"
"As the United Nations Stabilization Mission in Haiti (MINUSTAH) completed its mandate on 15 October, the Security Council welcomed the notable progress made by Haiti towards stability and democracy.","Peacekeeping and Peacebuilding"
"In presidential statement S/PRST/2017/20, read by François Delattre (France), its President for October, the Council recognized the contribution MINUSTAH had made in restoring security and stability throughout its 13‑year tenure and expressed appreciation of the efforts of the United Nations Country Team.","Peacekeeping and Peacebuilding"
"Recalling that the primary responsibility for ensuring stability lay with the Government of Haiti, the Council reaffirmed the need for political dialogue to help defuse tensions between competing groups.  Also reaffirming the need for addressing ongoing socioeconomic grievances, the Council emphasized the importance of prioritizing strengthening the rule of law, judicial reform, respect for human rights, including the empowerment of women and their full participation in decision-making, and further developing the capacity of the Haitian National Police.","Peacekeeping and Peacebuilding"
"The Council also recognized the United Nations “New Approach to Cholera in Haiti” and its continued progress in reductions of suspected cases of cholera.  In addition it reaffirmed its support for the United Nations zero‑tolerance policy on all forms of sexual exploitation and abuse.","Peacekeeping and Peacebuilding"
"Further to the presidential statement, the Council underscored the importance of continued support to Haiti and welcomed the work of the United Nations Mission for Justice Support in Haiti (MINUJUSTH) to consolidate progress made as the country transitioned to a non-peacekeeping United Nations presence.  It emphasized the importance of MINUJUSTH developing a clearly benchmarked projected two‑year exit strategy to a non‑peacekeeping United Nations presence to continue supporting the efforts of the Government of Haiti in sustaining peace and peacebuilding.","Peacekeeping and Peacebuilding"
"At the outset of the meeting, the President expressed deepest sympathy and condolences to the people of Somalia and the families of the victims of the terrorist attack in Mogadishu.  The Council then observed one minute of silence.","Peacekeeping and Peacebuilding"
"The meeting started at 10:11 a.m. and ended at 10:18 a.m.","Peacekeeping and Peacebuilding"
"The full text of presidential statement S/PRST/2017/20 reads as follows:","Peacekeeping and Peacebuilding"
"“As the United Nations Stabilization Mission in Haiti (MINUSTAH) completes its mandate on 15 October 2017, the Security Council recognizes the achievements made by Haiti since 2004.","Peacekeeping and Peacebuilding"
"“The Security Council takes note of the [report from the Secretary‑General of 5 October (S/2017/840)](https://reliefweb.int/node/2272144/) and the assessments, recommendations, and lessons learned contained therein.  The Security Council expresses its intention to take them into account in the framework of its ongoing work to enhance the overall effectiveness of United Nations peacekeeping and transitions.","Peacekeeping and Peacebuilding"
"“Recalling resolutions 2350 (2017) and 2313 (2016), the Security Council welcomes the notable progress made by Haiti towards stability and democracy.  It underlines the improvements in strengthening the security and humanitarian situation.  The Security Council also welcomes the presidential elections held in 2016 and 2017, which have paved the way to consolidate Haiti’s democratic institutions through a peaceful transfer of power.","Peacekeeping and Peacebuilding"
"“The Security Council recognizes the contribution of MINUSTAH in restoring security and stability in Haiti throughout its thirteen years.  The Security Council expresses its appreciation for the efforts of the United Nations Country Team, under the leadership of the Special Representatives of the Secretary‑General, and MINUSTAH personnel for their dedication.  The Security Council also expresses its gratitude to the troop- and police‑contributing countries for their support over the years.","Peacekeeping and Peacebuilding"
"“The Security Council recalls the primary responsibility of the Government of Haiti for ensuring stability in Haiti and reaffirms in particular the need for political dialogue as a peaceful resolution to help defuse tensions between competing groups and to address ongoing socioeconomic grievances.  It emphasizes the importance of prioritizing strengthening the rule of law, judicial reform, the respect for human rights, including the empowerment of women and their full participation in decision-making, and further developing the capacity of the Haitian National Police (HNP) to enable it to improve Haiti’s security environment, all of which are critical to achieving long‑term stability.  Further, the Security Council expresses confidence that the new mission will work closely with the Government of Haiti and calls upon the Government to facilitate the mission’s mandate and functioning.","Peacekeeping and Peacebuilding"
"“The Security Council recognizes the United Nations ‘New Approach to Cholera in Haiti’ and continued progress in reductions of suspected cases of cholera.","Peacekeeping and Peacebuilding"
"“The Security Council reaffirms its support for the United Nations zero‑tolerance policy on all forms of sexual exploitation and abuse and affirms the importance of supporting victims of sexual exploitation and abuse.","Peacekeeping and Peacebuilding"
"“The Security Council stresses that there is important work ahead to further advance Haiti’s long-term security, democratic consolidation, and sustainable development.  The Security Council underscores the importance of continued support to Haiti as it embarks on the next stage of the United Nations’ engagement, and welcomes the work of the United Nations Mission for Justice Support in Haiti (MINUJUSTH) to consolidate progress made as Haiti transitions to a non‑peacekeeping UN presence.","Peacekeeping and Peacebuilding"
"“The Security Council welcomes the use of a range of different tools to support Haiti as it seeks to address its political, economic, social, and security challenges.  It emphasizes the importance of MINUJUSTH developing a clearly benchmarked projected two‑year exit strategy to a non‑peacekeeping UN presence in Haiti to continue supporting the efforts of the government of Haitian in sustaining peace and peacebuilding.”","Peacekeeping and Peacebuilding"
"_For information media. Not an official record._","Peacekeeping and Peacebuilding"
"*Stéphane Dujarric, Spokesman for the Secretary-General*","Peacekeeping and Peacebuilding"
"The Secretary-General condemns today’s attack against a convoy of the United Nations Multidimensional lntegrated Mission in Mali (MINUSMA), in the Gao region, killing three Bangladeshi peacekeepers and seriously injuring five others.","Peacekeeping and Peacebuilding"
"The Secretary-General conveys his condolences to the Government of Bangladesh and to the bereaved families. He wishes swift recovery to the injured.","Peacekeeping and Peacebuilding"
"The Secretary-General recalls that Security Council resolution 2374 of 5 September 2017 provides for the imposition of sanctions against entities or individuals obstructing the implementation of the peace agreement and attacking United Nations personnel. ","Peacekeeping and Peacebuilding"
"The Secretary-General reaffirms the United Nations' determination to support efforts aimed at restoring lasting peace and security in Mali. He urges the Government and the signatory armed groups to expedite the implementation of the peace agreement, so as to isolate the terrorist groups and other entities bent on undermining the peace and reconciliation process.","Peacekeeping and Peacebuilding"
"This paper seeks to address three interconnected policy questions:","Peacekeeping and Peacebuilding"
"- First how do global illicit flows impact on local conflict dynamics? Are there specific conceptual features that can be identified that may assist us to analyse this phenomenon across cases?","Peacekeeping and Peacebuilding"
"- By understanding these, second, what can be done to limit the negative impact of organised crime on violent conflict? Are new ideas required or is it only a question of recalibrating existing policy alternatives?","Peacekeeping and Peacebuilding"
"- Third, what are the implications for international involvement in conflict affected states? Given the potential complexities of engaging in conflict spaces on what are often hidden or little understood criminal resource flows, are these even viable objectives for policy intervention, for either development or security actors?  ","Peacekeeping and Peacebuilding"
"While the paper’s focus is largely on Africa, given that much of the discussion on the political economy of conflict has had a link to conflicts on the continent, it also seeks to build on our wider experience of working in and researching conflict zones elsewhere and engaging with the range of stakeholders involved.  ","Peacekeeping and Peacebuilding"
"The discussion begins with a short overview of the history of the debate on the linkages between organised crime and conflict with an African focus. This schematic serves as an introduction to a series of analytical issues that we have drawn from both the Libyan and Nigerian case studies as well as our own analytical work conducted on organised crime and illicit networks in several other conflict zones.  ","Peacekeeping and Peacebuilding"
"While we do not claim these to be a definitive list, we hope that they serve to promote debate about the state of the evolving discussion and the linkages between global flows and local conflicts.  ","Peacekeeping and Peacebuilding"
"Referring to the connection between criminal flows and conflicts is not necessarily new. However, the scale of the challenge has changed as has the analytical discourse that is increasingly being adopted. The current debate in our views reflects a merging between an older literature on “greed or grievance” as a cause of conflict, and a newer (and less developed) one that has sought to identify organised crime as one ‘driver’ of conflict. Driver in this context has four overlapping dimensions:","Peacekeeping and Peacebuilding"
"1.  Conflict over the control of illicit markets;","Peacekeeping and Peacebuilding"
"2.  Illicit markets providing resources for continuing conflicts;","Peacekeeping and Peacebuilding"
"3.  Illicit revenue streams associated with conflict (and the disruption that it brings) postponing peace by ensuring that incentives from the criminal economy are seen as more advantageous than from peace; and,","Peacekeeping and Peacebuilding"
"4.  External resourcing of conflict actors and/or wide spread corruption associated with illicit markets which is a “bleeding sore” that erodes the state, preventing a decisive end to conflict (and through collusion in illicit markets provides incentives for state actors to gain from its continuance).  ","Peacekeeping and Peacebuilding"
"As these points suggest, and as we will argue as the paper unfolds, there are important overlaps between the older work on “greed and grievance” and the emerging focus.  ","Peacekeeping and Peacebuilding"
"What is lacking is a better way of conceptually framing the connections to allow a more sophisticated policy discussion.  ","Peacekeeping and Peacebuilding"
"We conclude that policy in this area is better informed by identifying a set of principles around which to frame responses rather than a set of ‘actions’ that are unlikely to be replicable across conflicts.","Peacekeeping and Peacebuilding"
"Since the adoption of its Global Strategy in 2016, European foreign and security policy has been in transition. In the Sahel, missions are being “regionalized,” the topic of migration management is gaining in importance, and there are significant structural changes in the works in Brussels. In addition, there is also a completely new instrument in the EU’s crisis management portfolio: the so-called “stabilization action” in Mali which is the first operationalization of Article 28 of the Treaty of Lisbon. As Tobias Pietz points out in his new [Policy Briefing](https://reliefweb.int/sites/reliefweb.int/files/resources/ZIF_Policy_Briefing_Pietz_GSVP_Sept_2017_EN.pdf), these changes hold both opportunities and risks for EU missions.","Peacekeeping and Peacebuilding"
"Conflicts and insecurity in the Niger Delta","Peacekeeping and Peacebuilding"
"For instance, in 2016, about four members of the Operation Crocodile Smile died when their boat capsized while they were on patrol. There has also been destruction of property worth millions of naira. Militancy was indeed taking its toll on the Nigerian economy with the country losing over N1.8 billion daily due to attacks on oil installations by militants (Okinbaloye 2016). The government has responded to the attacks by matching force with force, a step which analysts have criticised as not helping to achieve the goal of enduring peace in the region.","Peacekeeping and Peacebuilding"
"Amnesty represented an opportunity to stabilise the region for constructive conflict resolution negotiations. It was not the first time that an amnesty initiative had been put forward to resolve the violence in the region, but this time it was an offer backed with solid proposals for the necessary disarmament, demobilisation and reintegration of the region’s militants (Davis 2010). Despite this, however, the programme was not able to address regional violence, largely due to the lack of attention to the peculiar type of conflict in the Delta and the issues that gave rise to it. Thus, in order to fully appreciate the task of conflict resolution there, it is important to look at past attempts at conflict resolution in order to consider ideas for the future.","Peacekeeping and Peacebuilding"
"Theorising conflict in the Niger Delta region","Peacekeeping and Peacebuilding"
"Eco-violence, also known as environmental conflict, theory was developed by Homer-Dixon (1999:30) in his attempt to explain the causal relationship between natural resource endowment and the outbreak of violent conflict.","Peacekeeping and Peacebuilding"
"Decrease in the quality and quantity of renewable resources act singly or in various combinations to increase the scarcity, for certain population groups, of vegetation, farmland, water, forests etc. This scarcity of ecological resources can reduce economic productivity, both for the local groups experiencing the scarcity and for the larger regional and national economies. Consequently, the affected people may migrate or be expelled to new lands … while decreases in wealth can cause deprivation conflicts (Homer-Dixon 1999:30).","Peacekeeping and Peacebuilding"
"The central argument of the theory is that declining availability of renewable natural resources, which results in competition over scarce resources, engender violent conflict (Ajaero et al. 2015:471). This view was expressed by Annan (2006) when he stated that ‘environmental degradation in forms such as desertification, resource depletion and demographic pressure exacerbates tensions and instability …’. Michael (2001) also noted that:","Peacekeeping and Peacebuilding"
"Competition over the control of valuable oil supplies and pipeline routes has emerged as a particularly acute source of conflict in the 21st century. With the demand for oil growing and many older sources of supply (such as those in the United States, Mexico, and China) in decline, the pressure on remaining supplies, notably those in the Persian Gulf area, the Caspian Sea basin, South America, and Africa, is growing ever more intense.","Peacekeeping and Peacebuilding"
"This is seen from competition in Africa over the revenue generated from scarce natural resources which has led to violent conflict in Angola, the Democratic Republic of the Congo, Rwanda, Sudan and Nigeria (Bhattacharyya 2015). The foregoing aptly describes the situation in the Niger Delta where oil exploration activities leading to environmental degradation such as shortage of farmlands, death of aquatic life, air and water pollution, oil poisoning causing respiratory ailments and destruction of mangrove forests, often without adequate compensation, have resulted in conflict. This was why the late environmentalist, Ken Saro-Wiwa, lamented that the people of the region faced extinction in what he described as an ecological war (Saro-Wiwa, cited in Na’Allah 1998).","Peacekeeping and Peacebuilding"
"Increasing frustration emanating from oil exploration has led to violent resistance which has culminated in conflict in the region between locals represented by militants and oil corporations operating in the region.","Peacekeeping and Peacebuilding"
"Efforts by the Nigerian government to address conflicts in the Niger Delta","Peacekeeping and Peacebuilding"
"Various efforts, beginning even before independence, have been made by the Federal Government to end the conflicts in the region. In 1957, the government established the Willink Commission to look into the problems of the minorities, and this Commission acknowledged the utter neglect of the region and, among other proposals, recommended the creation of the Niger Delta Development Board (NDDB). This Board could not achieve its aims for many reasons, one of which was the fact that its headquarters were located in Lagos, far from the problem area. With the creation of twelve states in 1967 and the establishment of the Niger Delta River Basin Authority (NDRBA), the NNDB became obsolete. In the second republic, a 1.5% Federation Account for the development of the Niger Delta region was set up for the oil producing areas, but because of the constraint of operating from its secretariat in Lagos it was not able to achieve its purpose.","Peacekeeping and Peacebuilding"
"Following criticisms of the military option, especially when it became obvious that the use of force by the JTF was aggravating rather than resolving the conflict, an amnesty programme was set up by the Federal Government on 25 May 2009 under the leadership of a former president, Umar Musa Yar’Adua. Amnesty was the Federal Government’s effort towards bringing enduring peace, security, stability and development to the region.","Peacekeeping and Peacebuilding"
"It involved granting of national and unconditional pardon to all armed militants in the Niger Delta region who in turn were to surrender their arms and ammunition, sign an undertaking not to return to the creeks and continue with the struggle and also sign the military re-unification forms. Amnesty followed the recommendations contained in the 2008 report by the Niger Delta Technical Committee (NDTC) initially established by the Federal Government, and chaired by MOSOP president Ledum Mitee, to assess initiatives taken in the region and provide for a comprehensive report and recommendations. The 45-member committee was inaugurated on 8 September 2008 to collate and review all past reports in the Niger Delta, appraise their recommendations and make other proposals that will help the Federal Government achieve sustainable development, peace, human and environmental security in the Niger Delta Region (Mitee 2009). The amnesty programme included a disarmament, demobilisation and reintegration process.","Peacekeeping and Peacebuilding"
"Recommending the collective non-violent approach to conflict management in the Niger Delta","Peacekeeping and Peacebuilding"
"control, diminish or end violence associated with conflict through combined peace operations and/or mediation, conflict prevention and avoidance;","Peacekeeping and Peacebuilding"
"assist, where appropriate, with a negotiated settlement through peacebuilding, cross-border management and other cooperative efforts and measures;","Peacekeeping and Peacebuilding"
"help address the political, economic and/or social issues that underlie the conflict; and/or","Peacekeeping and Peacebuilding"
"provide political, diplomatic and economic guarantees or other long-term measures to improve local security conditions which involve international, regional/sub-regional and local actors and institutions supporting negotiation to end a conflict.","Peacekeeping and Peacebuilding"
"CNCM is a multilateral arrangement involving all parties in the conflict management process working together with parties to the conflict to find solutions to their problems. Negotiation is facilitated by a mediator acceptable to both parties. The mediator is a neutral person and a national of another country. The approach is voluntary, informal, improvised and adapted to the ad hoc situation; and because of the peculiarity and distinctiveness of each region, it is most effective when it occurs within regions (Crocker et al. 2011:51). Negotiations should preferably take place on neutral ground, for instance in a neighbouring country. In the case of the Niger Delta conflict, Ghana provides an appropriate location for negotiations.","Peacekeeping and Peacebuilding"
"The multilateral approach to conflict resolution has been found to be best suited for resolving natural resource conflicts in the 21st century (Mwanika 2010:7; Pynn 2011). Multilateral non-violent conflict resolution mechanisms have been successfully used in the Liberia peace process, the Philippines–Mindanao talks, the Afghanistan–Pakistan border dispute and the Horn of Africa Piracy (Crocker et al. 2011:46–49).","Peacekeeping and Peacebuilding"
"Characteristics of the collective non-violent approach","Peacekeeping and Peacebuilding"
"It is usually undertaken by an ad-hoc arrangement or coalition that deals with specific security challenges and immediate conflict management needs in the situation concerned.","Peacekeeping and Peacebuilding"
"It is a democratic problem-solving approach that gives parties to a conflict equal opportunity to participate in finding common solutions to their problems. It involves communicating face-to-face with one another, dialoguing, and negotiating, thereby building trust. This is very important in the Niger Delta case as the issue of lack of trust on both sides has impeded the process of dialogue.","Peacekeeping and Peacebuilding"
"It is particularly effective when one or more key actors at the official or unofficial level are prepared to take the lead and mobilise partners who are willing to support a shared undertaking.","Peacekeeping and Peacebuilding"
"It comprises peacebuilding and conflict transformation processes from their inception to their conclusion, including the implementation of formal peace settlements which has been lacking in the peace processes in the Niger Delta so far.","Peacekeeping and Peacebuilding"
"Challenges of the collective non-violent approach","Peacekeeping and Peacebuilding"
"It needs a supportive environment as parties to the dispute must agree to the process and cooperate with the team otherwise it would not succeed. Because of the issue of sovereignty, a State may be reluctant to adopt an approach that may been seen as foreign interference in its domestic politics.","Peacekeeping and Peacebuilding"
"It is expensive as it requires using a neutral location such as another country and paying members of the team of negotiators and the mediator.","Peacekeeping and Peacebuilding"
"It requires members to have the right skills and resources for the success of the task at hand and as a result it needs long-term planning, training and mobilisation of resources which depend on availability of funds.","Peacekeeping and Peacebuilding"
"It is ineffective where one or more key actors are not prepared to take the lead and mobilise partners for the task.","Peacekeeping and Peacebuilding"
"- Abidde, O. Sabella 2009. Niger Delta amnesty: Peace cannot be dictated. Pambazuka News, issue 447. Available from: <http://pambazuka.org/en/category/features/58611> [Accessed 29 February 2016].   ","Peacekeeping and Peacebuilding"
"- Ajaero, C.K., A.T. Mozie, I.C. Okeke, J.P. Okpanachi and C. Onyishi 2015. The drought-migration nexus: Implications for socio-ecological conflicts in Nigeria. Mediterranean Journal of Social Sciences, 6 (2), S1, pp. 470–478.   ","Peacekeeping and Peacebuilding"
"- Ajodo, Angela 2012. Niger Delta crisis and Nigeria’s external relations from 1992–1998: An assessment. Ph.D. thesis, University of Abuja.   ","Peacekeeping and Peacebuilding"
"- Ajodo-Adebanjoko, Angela 2016. Assessing amnesty programme in the Niger Delta in the face of renewed militancy in the region. Nasarawa Journal of Political Science, 4 (1), pp. 150–168.   ","Peacekeeping and Peacebuilding"
"- Ajodo-Adebanjoko, Angela and TakimOjua 2013. An assessment of Niger-Delta crisis on Nigeria’s external relations - From 1992–2008. International Journal of Humanities and Social Science, 3 (8), pp. 179–192.   ","Peacekeeping and Peacebuilding"
"- Akintunde, Jide and Martins Hile 2016. Issues in resolving oil conflict in the Niger Delta. Financial Nigeria, 16 June 2016. Available from: <www.financialnigeria.com/issues-in-resolving-oil-conflict-in-the-niger-delta-blog-142>[Accessed 13 September 2016].   ","Peacekeeping and Peacebuilding"
